"dataId","query"
86,"16th International African- Arabian Exhibition for Plastics Industries(Plastex 2018) http://www.plastex-online.com"
87,"Souvenir Show 2018 Spring http://kankoubussan.jimdo.com/"
88,"GO - REGIONTOUR 2018 - International Travel Fair & International Fair for Regional Tourism http://www.bvv.cz/en/go-regiontour/"
89,"INDUS FOOD 2018 - GLOBAL FOOD & BEVERAGE  SHOW OF INDIA http://www.indusfood.co.in/"
90,"FHW India - Food Hospitality World Mumbai http://www.fhwexpo.com"
91,"MAISON&OBJET PARIS http://www.maison-objet.com/en/paris"
92,"BIJORHCA PARIS http://www.bijorhca.com/"
93,"T-Gold 2018 http://www.vicenzafiera.it/en/fairs/t-gold"
94,"International Green Week Berlin(IGW) http://www.gruenewoche.de/"
95,"Japan Fishing Show 2018 http://www.fishingshow.jp/"
96,"PREMIERE CLASSE http://www.premiere-classe.com/"
97,"Tape, Sealant & Adhesive Industry Expo 2018(TSA Expo 2018) http://www.tsaexpo.com"
98,"Lii 2018 - Light India International http://www.lii.co.in"
99,"hanseBAU 2018 http://www.hansebau-bremen.de/"
100,"Miyagi, Sendai Housing Reform Fair 2018 http://www.the-reform.co.jp/"
101,"SIGEP 2018 - 39th International Trade Show of Artisan Gelato, Pastry, Bakery and the Coffee World http://www.sigep.it"
102,"boot Duesseldorf http://www.boat-duesseldorf.com/"
103,"Vivanti http://www.vivanti-messe.de/"
104,"IKF - 30.Internationale Kulturboerse Freiburg 2018 http://www.kulturboerse-freiburg.de/"
105,"Winter Fancy Food Show http://www.specialtyfood.com/"
106,"Scotland's Speciality Food Show http://www.scotlandsspecialityfoodshow.com/"
107,"Scotland's Trade Fair Spring http://www.scotlandstradefairs.co.uk/spring/"
108,"INTERSEC 2018 http://www.intersecexpo.com/"
109,"Texworld USA http://texworldusa.us.messefrankfurt.com/"
110,"Kish ENEX 2018 - 14th International Petro Energy Exhibition http://kishenex.ir"
111,"MMWA - Multimodal West Africa 2018 http://www.multimodalwestafrica.com"
112,"GEVEL 2018 http://www.gevel-online.nl"
113,"2018 SHOT Show http://www.shotshow.com/"
114,"11th Tehran International Tourism Exhibition(T.I.T.E 2018) http://www.titexgroup.com/"
115,"IPM ESSEN http://www.ipm-essen.de/"
116,"EVENT JAPAN 2018 http://www.intercross-com.co.jp/event-japan/"
117,"CNR IMOB  - 14th International Istanbul Furniture Fair http://cnrimob.com/"
118,"NORTEC 2018 - Manufacturing trade fair http://nortec-hamburg.de/"
119,"LEATHER AND SHOES 2018 '1 - 35 International Specialized Exhibition of Shoes, Leather and Fur http://artexpo.ua"
120,"OCM2018 - 19th Specialized Exhibition of Construction Materials http://www.osmexpo.com/"
121,"interplastica 2018 - 21st International Trade Fair Plastics and Rubber http://www.interplastica.de"
122,"upakovka 2018 - Processing & Packaging http://upakovka.messe-duesseldorf.de/"
123,"PROMOGIFT - International Promotional Gift Trade Fair http://www.ifema.es/promogift_01/"
124,"AIME - Aircraft Interiors Middle East http://www.aime.aero/"
125,"Colombiatex of the Americas 2018 http://www.colombiatex.com"
126,"Iran Property Expo 2018 - 5th International Exhibition of Real Estate and Property http://iranpropertyexpo.com/"
127,"17th GARMENTECH Bangladesh 2018 http://garmentechdhaka.com/"
128,"12th Indian Ocean Ports and Logistics 2018(12IOPS) http://www.transportevents.com/ForthcomingEventsdetails.aspx?EventID=EVE144"
129,"Pitti Immagine Filati 82 http://www.pittimmagine.com/en/corporate/fairs/filati.html"
130,"pte - Promotion Trade Exhibition http://www.promotiontradeexhibition.it/it/"
131,"PGA - 2018 PGA Merchandise Show http://www.pgamerchandiseshow.com"
132,"New York Boat Show http://www.nyboatshow.com"
133,"Sales Promotion World [Spring] http://www.sp-world.jp/spring/"
134,"Sales Promotion Expo [Spring] http://www.spex.jp/spring/"
135,"Store Sales Promotion EXPO [Spring] http://www.tenpo-sp.jp/spring/"
136,"Sales support EXPO[Spring] http://www.ss-expo.jp/spring/"
137,"Advertising EXPO [Spring] http://www.ad-expo.jp/spring/"
138,"Web sales promotion EXPO [Spring] http://www.web-spex.jp/spring/"
139,"PrintDoors2018 http://www.kobundo.co.jp/event/printdoors2018/pr_pd2018.html"
140,"LIFESTYLE EXPO TOKYO 2018 [January] http://www.giftex-expo.jp/spring/"
141,"GIFTEX TOKYO 2018 [January] - 13th Int'l Variety-Gifts Expo http://www.giftex.jp/spring/"
142,"1st Baby & Kids Expo [January]- Int'l Baby & Kids Products Expo Tokyo http://www.bk-w.jp/spring/"
143,"1st Fashion Goods & Accessories Expo Tokyo [January] http://www.fa-expo.jp/spring/"
144,"1st Table & Kitchenware Expo Tokyo [January] http://www.tw-expo.jp/spring/"
