"showId","text"
122,"43rd International Boat Show Duesseldorf (boot 2012)"
123,"35th Salon International Ice Cream, Pastry and Bakery(SIGEP 2014)"
124,"vivanti - lifestyle trade fair(vivanti)"
125,"INTERFILIERE - International Exhibition for Lingerie and Swimwear, Laces, Embroidery, Fibres and Trimming(INTERFILIERE)"
126,"Housing Reform Fair 2013 in SENDAI (10th)"
127,"Winter  Fancy Food Show  2012(NASFT 2012)"
128,"28th Internationale Kulturboerse Freiburg 2016(IKF)"
129,"International Fire, Safety, Rescue and Commercial Security Exhibition(INTERSEC 2012)"
130,"Scotland's Trade Fair Spring"
131,"Scotland's Speciality Food Show"
132,"3rd COSME INNOVATION"
133,"COSME Tech 2013 - 4th INT'L COSMETICS DEVELOPMENT EXPO(COSME Tech)"
134,"Hospitality Show 2017"
135,"24th INTERNATIONAL JEWELLERY TOKYO 2013(IJT 2013)"
136,"3rd GIRLS JEWELLERY TOKYO"
137,"IMOB 2013 ISTANBUL FURNITURE FAIR(IMOB )"
138,"7th Doors & Windows Technology International Exhibition(Do-WinTech 2016)"
139,"The 43rd Northwest Agricultural Show"
140,"The International Advertising and Promotional Gift Show in Spain (ER/EXPO RECLAM)"
141,"International Trade Fair for Plants, Technical Equipment, Floristry, Sales Promotion(IPM)"
142,"LEARNTEC 2016"
143,"15th Specialized exhibition for Construction Materials (OCM 2014)"
144,"15th International Trade Fair for Plastics and Rubber (INTERPLASTICA 2012)"
145,"20th International Trade Fair for Packaging Machinery, Packaging Production and Packaging Material (UPAKOVKA/UPAK ITALIA 2012)"
146,"Colombiatex of the Americas 2012(Colombiatex)"
147,"Liberty Fair, New York"
148,"WOMAN NEW YORK(WOMAN)"
149,"Multimodal West Africa 2017(MMWA)"
150,"The 50th PrintDoors2014(PrintDoors2014)"
151,"Medicare Foods Expo 2015"
152,"Integrated Medicine Exhibition & Conference (IMEC)"
153,"Housing Reform Fair in Nagaoka(Housing Reform Fair)"
154,"New York Boat Show"
155,"PGA Merchandise Show"
156,"International Agriculture and Agricultural Machinery Exhibition(AGRO+MASHEXPO)"
157,"BETT 2012"
158,"23rd The Autumn Fair 2012(Autumn Fair 2012)"
159,"Trade Fair for Electricity and Information Networks (Verkosto)"
160,"36th JCSC National Convention SC Business Fair 2012(SC Business Fair)"
161,"Pitti Filati 74"
162,"IMTEX 2013 - 16th Indian Metal-cutting Machine Tool Exhibition with International Participation(IMTEX  2013)"
163,"artbygeneve 2012"
164,"Salao MotoBrasil"
165,"FESPO 2015"
166,"NADA Convention & Expo (NADA)"
167,"Edmonton RENOVATION Show"
168,"International Exhibition of Contemporary Art(Arte Fiera)"
169,"Christmasworld -The World of Event Decoration(Christmasworld 2013)"
170,"Pakistan Mega Leather Show 2016(PMLS 2016)"
171,"Jewelers International Showcase (JIS)(JIS)"
172,"Macef - the International Home Show(Macef)"
173,"SPIE BiOS Expo 2015"
174,"Creativeworld"
175,"Paperworld 2013 - International Trade Fair for Paper, Office Supplies and Stationery(Paperworld )"
176,"THE INTERNATIONAL TRADE SHOW FOR OPTICS & DESIGN(opti 2015)"
177,"By Hand, Canada's Artisan 2012 spring  Gift Show (BY HAND ALBERTA)"
178,"Canadian Gift & Tableware Association Gift Show  2012 Spring(CGTA Toronto Gift Show  2012 Spring)"
179,"ISM - International Sweets and Biscuits Fair Cologne(ISM)"
180,"International Supplier Trade Fair for the Confectionery Industry(ProSweets)"
181,"Arab Health 2013 - Arab Health Exhibition and Congress (Arab Health)"
182,"PHOTON 's Solar Terawatt-hours Conference Series 2012 USA"
183,"International Production & Processing Expo(IPPE 2014)"
184,"International Conference & Exhibition for Cyber Solutions(Cybertech 2016)"
185,"Automechanika Jeddah 2016(AMJD16)"
186,"EVENT JAPAN 2012"
187,"The 22nd International Industrial Trade Fair ""MVC: Cereals - Mixed Feed - Veterinary - 2017""(MVC)"
188,"Copenhagen International Fashion Fair(CIFF Spring / Summer 2015)"
189,"Spielwarenmesse International Toy Fair Nuernberg (Spielwarenmesse Nuernberg )"
190,"FASTFOOD & CAFE Stockholm 2013"
191,"Restaurang EXPO 2015"
192,"JCK Tucson 2015(JCK Tucson)"
193,"TOKYO FRANCHISE SHOW 2013(FCSHOW)"
194,"Technical Show Yokohama 2013 (34th Industrial Technology Exhibition)(TechYokohama)"
195,"XII th International Jewellery Show - NEW RUSSIAN STYLE 2013"
196,"International Gift, Jewellery and Fashion Jewellery Week(INTERGIFT/IBERJOYA/BISUTEX)"
197,"International Gift and Decoration(INTERGIFT )"
198,"Milano Unica Spring/Summer 2014(Milano Unica S/S 2014)"
199,"ICES-EXPO 2017 - First International Engineering Services and Consulting Exhibition"
200,"International Engineering & Technology Fair(IETF)"
201,"INDIA STONEMART 2013 - 7th International Stone Industry Exhibition(INDIA STONEMART)"
202,"International  Fair for Building, Interior Design and Energy Saving(Bauen+Wohnen Salzburg)"
203,"51st Expohogar Primavera 2014 - International Trade Show of Gift and Home Articles (Expohogar)"
204,"10th International Istanbul Yarn Fair"
205,"The Montreal Boat and Water Sports Show 2012"
206,"The 16th Earthquake Technology Expo, Yokohama"
207,"Ota Industrial Fair 2012(Ota Industrial Fair 2012)"
208,"Chushikoku Regional Business Fair 2012"
209,"IFEX 2012 - The 8th International Exhibition on Foundry Technology, Equipment and Supplies (IFEX 2012 )"
210,"Golf Industry Show"
211,"Printpack India 2013(Printpack India 2013)"
212,"NY NOW - The Market for Home + Lifestyle(NY NOW)"
213,"Batmassan"
214,"Fishing Show Osaka 2012"
215,"spring Fair International"
216,"China International Fishing Tackle Trade Exhibition 2012(China Fish 2012)"
217,"ISPO MUNICH 2013(ISPO MUNICH)"
218,"The 9th International Tourism Exhibition(T.I.T.E)"
219,"GEVEL 2015"
220,"19TH INTERNATIONAL EXHIBITION FOR FOOD, BEVERAGES AND FOOD RAW MATERIALS (PRODEXPO 2012)"
221,"BioAsia 2016"
222,"International meeting place for the textile industry(Texworld)"
223,"Apparel Sourcing Paris"
224,"Stockholm Furniture Fair & Northern Light Fair 2013"
225,"Medical Design & Manufacturing  MD&M West(MD&M West)"
226,"Premiere Vision Spring Summer 15(Premiere Vision)"
227,"PLASTEC West"
228,"Integrated Systems Europe 2015(ISE 2015)"
229,"13th International Trade Fair for Heating Technology, Air-conditioning,(Aqua-therm Nitra 2012)"
230,"E-world energy & water"
231,"BUDMA International Construction Fair (BUDMA 2012)"
232,"International Exhibition  and  Forum   SECURITY AND SAFETY TECHNOLOGIES(SST Moscow 2012)"
233,"Surface Design Show"
234,"Gulf Incentive, Business Travel & Meetings Exhibition(GIBTM 2012)"
235,"10th Wedding Dresses, Suits and Evening Gowns Fair(IF Wedding Fashion 2016 Izmir)"
236,"Gulf Industry Fair"
237,"International Exhibition for Manufacturing Technology and Automation(EXPO MANUFACTURA 2012)"
238,"International Trade Fair for Heating, Ventilation, Air Conditioning Technology, Sanitary Equipment & Environmental Protection Including Moscow Pool(AQUA-THERM Moscow)"
239,"tag-it by GDS 2015"
240,"SEMICON Korea 2013(SEMICON Korea)"
241,"LeadingAge Minnesota"
242,"FRUIT LOGISTICA 2012(FRUIT LOGISTICA )"
243,"REISEN HAMBURG - The Holiday, Caravaning, Outdoor and Cycling Exhibition(REISEN HAMBURG 2015)"
244,"Retromobile"
245,"The Source Trade Show"
246,"Aircraft Interiors Middle East(AIME)"
247,"PAGE 2012"
248,"Signature Mumbai 2013 - The Sixth edition of India International Jewellery Show(Signature Mumbai)"
249,"20th Convergence India 2012 Expo(20th CI 2012 )"
250,"4th edition of India Gem & Jewellery Machinery Expo(IGJME)"
251,"The 11th Gourmet & Dining Style Show 2012 Spring(GDS)"
252,"The 73rd TOKYO INTERNATIONAL Gift Show 2012 SPRING(TIGS)"
253,"The 45th International Premium Incentive Show SPING 2012(IPI)"
254,"Internet of Things India expo 2017(IoT)"
255,"manicolle tokyo Vol.16(manicolle tokyo Vol.16)"
256,"WIN Metal Working - World of Industry Fairs"
257,"India Pharma 2016"
258,"European Film Market(EFM)"
259,"India Medical Device 2017"
260,"Frankfurt International Fair Ambiente 2012(Ambiente)"
261,"23rd international travel trade fair Tourest(Tourest)"
262,"Helsinki International Boat Show"
263,"AOU2012 Amusement Expo(AOU EXPO)"
264,"Holidays and Travel Exhibition(MAHANA)"
265,"OSAKA AUTOMESSE 2012"
266,"5th International Exhibition for Enterprises, SMEs and Partnership of Yaounde(PROMOTE 2014)"
267,"Biophysical Society  56th Annual Meeting"
268,"akzente Sindelfingen"
269,"Belgian Boat Show 2012"
270,"SVUM 2017 International Trade Show (3rd)"
271,"Brazilian International Gift Fair"
272,"MIPEL - international leather-goods show(MIPEL )"
273,"4th Interior Exterior Design Decor Furnishing Expo(idf Oman)"
274,"Tire Technology Expo 2015"
275,"The International Exhibition for Technologies & Equipment for Industrial Laboratories(ANALIZA)"
276,"The Exhibition for Industrial & Facility Maintenance(Maintenance)"
277,"INTERSTYLE february 2012(INTERSTYLE february 2012)"
278,"SOURCE2017(SOURCE)"
279,"Katsushika the 1st ""Machi Kojyo""(city factory) Exposition 2015"
280,"AfricaBuild Lagos"
281,"International Building and Interiors Exhibition Week of finishing materials and interior solutions(SibBuild 2015)"
282,"37th International Marble and Granite Fair(Vitoria 2014 Stone Fair)"
283,"Middle East Electricity Exhibition & Conference(MEE )"
284,"Solar Middle East 2013(Solar Middle East)"
285,"eCommerce Solution Fair in Tokyo"
286,"Technology for Marketing and Advertising 2013 Tokyo (Japan)(TFM&A)"
287,"2nd Renewable Energy Global Investors Meet & Expo (RE-INVEST 2017)"
288,"Prototype and Contracted Manufacturing Exhibition 2015"
289,"Advanced Printing Technology Exhibition 2015"
290,"Convertech JAPAN 2015(Convertech)"
291,"nano tech 2013 International Nanotechnology Exhibition & Conference(nano tech 2013)"
292,"InterAqua 2012"
293,"The 12th China (Shanghai) International Optics Fair(SIOF 2012)"
294,"MEDICAL JAPAN 2016"
295,"INTERPHEX JAPAN 2015-28th INT'L PHARMACEUTICAL R&D AND MANUFACTURING EXPO/CONFERENCE -"
296,"1st Regenerative Medicine Expo & Conference Japan"
297,"1st [Hospital + Innovation] Expo Japan"
298,"Nursing Expo Japan 2015 - 1st International Nursing & Nursing Care Expo"
299,"2nd Medical IT Solutions Expo"
300,"SATTE 2013 - The 20th edition of South Asia's leading B2B travel and tourism trade exhibition"
301,"Bangladesh International Plastics, Packaging and Printing Industrial Fair(2012 IPF)"
302,"ASTEC 2013 Advanced Surface Technology Exhibition & Conference(ASTEC)"
303,"3D Printing 2015 Additive Manufacturing Technology Exhibition(3D Printing 2015)"
304,"SURTECH 2012(SURTECH)"
305,"neo functional material 2014"
306,"Vivaness 2012 - Trade Fair for Natural Personal Care and Wellness(Vivaness 2012 )"
307,"ENEX 2012"
308,"International Education Show 2013(IES)"
309,"Anfas Food Product- 19th International Trade Exhibition for Food(Anfas Food Product)"
310,"Buildex Vancouver 2012"
311,"ispo china 2012 WINTER SHOW(ispo china 2012)"
312,"The 8th China International Automotive Aftermarket Industry & Tuning (Guangzhou) Trade Fair(AAITF 2012)"
313,"11th African Fine Coffee Conference & Exhibition"
314,"Export Home 2017"
315,"30th Tokyo Health Industry Show"
316,"MEDIX OSAKA - 3rd Medical Device Development & Manufacturing Expo(MEDIX OSAKA)"
317,"46th  Super Market Trade Show 2012"
318,"Converting Technology Exhibition 2017 -  3Decotech Expo"
319,"Printable Electronics 2013"
320,"1st Cloud Computing Expo Osaka(CLOUD JAPAN Osaka)"
321,"1st Information Security Expo Osaka(IST Osaka)"
322,"1st Web & Digital Marketing Expo Osaka(Web-Mo Osaka)"
323,"1st IoT/M2M Expo Osaka"
324,"1st Mobile Solutions Expo Osaka(MOBIX Osaka)"
325,"1st Embedded Systems Expo Osaka(ESEC)"
326,"Japan IT Week Osaka 2017"
327,"Bauen & Energie Wien : All about Healthy Building, Renovating, Financing & Energy Saving (Bauen & Energie Wien )"
328,"Die Hohe Jagd & Fischerei & Offroad  : The International Fair for Hunting & Fishing (Die Hohe Jagd & Fischerei)"
329,"absolut allrad Salzburg - 4 x 4 Cars & All-Terrain Vehicles(absolut allrad Salzburg )"
330,"Antikmassan"
331,"The 8th International Fair of Gastronomy and Equipment for Hotels & Restaurants(TOP GASTRO & HOTEL 2014)"
332,"Beach & Boat"
333,"2012 Hong Kong International Fur & Fashion Fair(HKIFFF)"
334,"26th Central European tourism trade fair(HOLIDAY WORLD)"
335,"IFAT Eurasia 2015 - Trade Fair for Environmental Technologies(IFAT Eurasia 2015)"
336,"33rd Indian Handicrafts & Gifts Fair Spring 2012(IHGF Spring 2012)"
337,"BeFe BABY FAIR"
338,"Hanse Golf"
339,"Belgian Boat Show (the Latter Period)"
340,"Rybomania"
341,"MachAutoExpo-2016"
342,"The 14th China International Expo for Auto Electronics Accessories Tuning Car Care Products(CIAACE 2012)"
343,"TOUR SALON 2014"
344,"Indonesia Senior Expo 2017(ISE 2017)"
345,"AGHA Sydney Gift Fair 2017"
346,"Toy Fair NY 16"
347,"Reed Gift Fairs - Sydney February(Reed Gift Fairs )"
348,"Beer Attraction"
349,"Huishoudeurs 2015"
350,"INHORGENTA MUNICH 2013"
351,"HIMSS 12 :Annual Conference & Exhibition(HIMSS 12)"
352,"International Trade Fair for Bakery, Pastry and Related Industries (INTERSICOP)"
353,"Automotive Meetings Quretaro"
354,"CEVISAMA Home Skin 2012(CEVISAMA)"
355,"13th International Exhibition for Equipment and Technology in the Light Industry(INLEGMASH 2012)"
356,"The 16th International Cosmetics, Skincare, Fragrance and Hair Products, Equipment & Packaging Technology Exhibition(BeautyAsia 2012)"
357,"CPM - Collection Premiere Moscow (CPM Moscow 2012)"
358,"Maison & Objet Editeurs(Maison & Objet Editeurs)"
359,"Liberty Fair Las Vegas"
360,"AIME: Asia-Pacific Incentives & Meetings Expo(AIME)"
361,"International Exhibition of Machines and Technologies for Footwear, Leathergoods and Tanning Industry(Simac and Tanning-Tech)"
362,"China Analytic & Laboratory Equipment Expo & Conference(China Lab 2012)"
363,"The Personal Care and Homecare Ingredients (PCHi)(PCHi 2012)"
364,"HCJ2012 (HOTERES JAPAN 2012/CATEREX JAPAN 2012/JAPAN FOOD SERVICE EQUIPMENT SHOW 2012)(HCJ2012)"
365,"Private Label Trade Show Japan 2012"
366,"AsiaTides 2012(AsiaTides 2012)"
367,"AFF NAGOYA 2015(AFF)"
368,"29th International Triennial Earth-Moving and Building Machinery Exhibition(SaMoTer)"
369,"MOBAC SHOW 2013 (2013 MACHINERY, MATERIALS, MARKETING OF BAKERY AND CONFECTIONERY SHOW)(MOBAC SHOW 2013)"
370,"International Rubber Expo(Rubexpo Vietnam)"
371,"Pumper & Cleaner Environmental Expo International(Pumper & Cleaner Expo)"
372,"International Contemporary Art Fair(ARCO)"
373,"f.re.e -  Fair for Leisure and Travel  (f.re.e)"
374,"Prolight + Sound Guangzhou"
375,"BC Home + Garden Show"
376,"The 9th Seafood and Technology Expo OSAKA"
377,"The 9th Agri-food Expo Osaka 2016"
378,"The 29th Kyunghyang Housing Fair 2014(KH Fair 2014)"
379,"Australiasian Oil & Gas Exhibition & Conference(AOG 2017)"
380,"49th Bangkok Gems & Jewelry Fair 2012"
381,"5th International Exhibition for Glass production, Processing, Products(glasspex INDIA 2017)"
382,"SibYuvelir - 2017"
383,"CP+ (CAMERA & PHOTO IMAGING SHOW) 2012(CP+2012)"
384,"AutoPro Indonesia 2017(AutoPro Indonesia )"
385,"The 9th Dhaka Int'l Textile & Garment Machinery Exhibition 2012(DTG 2012)"
386,"EMS Today : The JEMS  Conference &Exposition(EMS Today)"
387,"Eurasia Moto Bike Expo 2013"
388,"International Trade Show. Window. Door. Facade. Technologies. Components. Prefabricated Units(FENSTERBAU FRONTALE INDIA 2016)"
389,"Guanzhou Travel Fair 2012(GITF 2012)"
390,"WATER TODAY'S WATER EXPO 2012(WATER EXPO 2012)"
391,"LOHAS Expo 2014 - The Trade Event of Natural, Organic and Green Products(LOHAS Expo)"
392,"Vegetarian Food Asia 2016"
393,"RENEWABLE ENERGY EXPO 2017"
394,"Belgrade Tourism Fair"
395,"FBCShanghai2014"
396,"Seoul International Sports & Leisure Industry Show 2012(SPOEX 2012)"
397,"ISH India - International trade fair for plumbing, sanitation, bathroom & kitchen, renewable energy and home automation systems in India"
398,"Danish Travel Show - FERIE FOR ALLE(FERIE FOR ALLE)"
399,"Salon du  tourisme Toulouse"
400,"The 3rd Real Estate and Property Exhibition(Iran Property Expo 2016)"
401,"The Outdoor Adventure & Travel Show - Toronto"
402,"9th International LandScape & Gardening Expo 2015(LandScape & Gardening Expo )"
403,"7th International Flora Expo 2012(Flora Expo 2012- INDIA)"
404,"International Horti Expo 2013(Horti Expo)"
405,"Toronto Star Golf & Travel Show 2012"
406,"International Fur and Leather Exhibition(MIFUR SMALL VILLE)"
407,"Morocco International Home Textile Fair(Morocco Hometex)"
408,"Myanmar Agriculture and Food Exhibition and Conference"
409,"MYANMAR COSMETICS EXPO, MYANMAR BEAUTY EXHIBITION IN YANGON(Myanmar Beauty Cosmetics Expo by MiTA)"
410,"Myanmar Medical Laboratoy Expo and Pharma Exhibition(Myanmar Lab Expo by MiTA)"
411,"Myanmar Agriculture and Irrigation Technology Exhibition(Myanmar Agriculture Expo by MiTA )"
412,"MiTA Myanmar Environmental Engineering Exhibitions & Conference (Myanmar Environmental Engineering Expo by MiTA)"
413,"Myanmar Food Processing and Fisheries Exhibition(Myanmar Food Expo by MiTA)"
414,"MiTA Myanmar Furniture & Handicrafts Exhibitions and Conference(Myanmar Furniture Expo by MiTA)"
415,"Myanmar Mining Exhibition and Conference (Myanmar Mining Expo by MiTA)"
416,"MAISON&OBJET projets"
417,"Myanmar Energy and Environment Exhibitions & Conference(MYANMAR ENERGY EXPO by MiTA)"
418,"Myanmar Construction Equipment and Building Materials Exhibitions and Conference(Myanmar Construction Expo by MiTA)"
419,"Milano Eyewear Show(MIDO 2016)"
420,"SIMA - The Paris International AgriBusiness Show (Le Mondial des Fournisseurs de l'Agriculture et del'Elevage) (SIMA)"
421,"The 13th annual Kelowna  Home Show(Kelowna  Home Show)"
422,"Gulfood 2014"
423,"SIMA"
424,"Organic & Natural Beauty 2015"
425,"Professional Beauty 2015(PB 2015)"
426,"Game Developers Confernce and Expo(GDC 2015)"
427,"Saudi Plastics & Petrochem 2015 - The 12th International Trade Exhibition for Plastic & Petrochemical Industies"
428,"Mobile World Congress 2012(MWC)"
429,"Poznan Fashion Fair"
430,"China International Building Technologies, Building Materials & Construction Equipment Exposition(ConstrucTech 2015)"
431,"Game Connection America(GC)"
432,"COTERIE"
433,"Australian International Airshow and Aerospace & Defence Exposition(AVALON AIRSHOW 2015)"
434,"MEDTRADE  Spring 2012(MEDTRADE )"
435,"10th International Specialized Exhibition equipment and technologies for composite materials producing(Composite-Expo 2017)"
436,"the 18th Edition of the International Specialized Exhibition for Paints and Coatings - Interlakokraska'2014(Interlakokraska' 2014)"
437,"Ingredients Russia 2014 - 17th International Exhibition Food ingredients, Additives and Flavourings"
438,"International HVAC & R Exhibition(C & R)"
439,"The Hong Kong International Diamond, Gem & Pearl Show 2015"
440,"SPINEXPO -19th session Shanghai  (SPINEXPO2012)"
441,"Toys & Kids Russia 2012"
442,"7th  International Specialized Exhibition for Laser, Optical and Optoelectronic Technologies (PHOTONICA)"
443,"The 8th International Specialized HVAC Trade Fair Exhibition(Climate World - 2012)"
444,"International architectural and building exhibition (YugBuild 2015)"
445,"Dubai International Boat Show"
446,"The 15th Energy and Environment International Trade Fair (GENERA 2012)"
447,"3rd INTERNATIONAL TRADE FAIR FOR WOORWORKING MACHINERY, TOOLS, FITTINGS, ACCESSORIES, RAW MATERIALS & PRODUCTS(DelhiWood 2013)"
448,"ECR 2012"
449,"IWF SHANGHAI Health, Wellness, Fitness Expo(IWF SHANGHAI)"
450,"The 7th China  International Hosiery Purchasing Expo(CHPE 2012)"
451,"KyivBuild 2013 - 17th International Specialized Exhibition of Professional Construction(KyivBuild 2013)"
452,"MebelExpo Uzbekistan 2014"
453,"Aqua-Therm Tashkent 2014"
454,"14th Uzbekistan International Exhibition Construction (UzBuild 2013)"
455,"International Educatinal Opportunities Exhibition(AULA 2012)"
456,"11th Annual Ceramic Mateirals, Machinery, Supplies & Technology Show (Indian Ceramics 2016)"
457,"China Int'l Vending Machine & Self-service Facilities Fair (VMF2014)"
458,"SPS-Industrial Automation Fair Guangzhou(SIAF Guangzhou 2014)"
459,"The 21st China International Exhibition on Packaging Machinery & Materials  / China (Guangzhou) International Packaging Products Gala(SINO-PACK 2014 / PACK INNO 2014)"
460,"China (Guangzhou) International Exhibition on Packaging Products 2015(PackInno 2015)"
461,"The 19th South China International Exhibition on Printing Industry / The China International Exhibition on Label Printing Technology(The 19th Printing South China / SINO-LABEL 2012)"
462,"The 20th South China International Exhibition on Printing Industry(Printing South China 2013)"
463,"WIND EXPO 2013 - 1st Int'l Wind Energy Expo & Conference(WIND EXPO 2013 )"
