"訪談日期","部門","new_GeneralInformation","new_Interviewer"
2017-12-22,"會本部. EBS","本次拜訪主要了解長泓能源本身產品之競爭優勢、產品應用類別、客戶群、未來業務開發目標等。該公司主要生產鋰鐵磷電池為主，產品訴求：高穩定度(電壓衡定)、高安全性(不受環境影響、外力破壞，本身未添加錳系元素，其電池較市面上如gogoro安全，因猛系電池受撞擊容易起火，唯能量密度高(鋰鐵磷146Wh／Kg，鋰猛系電池160Wh／Kg)、環保製程、國產技術。目前產品應用實績於：不斷電儲能系統(小林村、排雲山莊)、汽車啟動電池、攜帶式儲能設備、電動巴士電池模組(高雄港都客運)、電動船電池模組(日月潭)、電動自行車電池模組(續航力40公里)、供應我國海軍用電池模組。主要出貨以儲能系統、汽車啟動電池，以及電動自行車電池，其產品使用於電動車僅為應用項目之一。本身產品定位於高技術與高單價之市場，對於印度和東南亞等低價電動車市場未有興趣，現階段主要集中於儲能、國防(目前與美國國防設備供應商Raytheon接洽電池中)、通信等不斷電系統電池之業務方向發展。目前對於車輛動力電池業務開發上，以應用於特殊車輛動力電池為主，目前實績：如工廠無人搬運車(現以提供電池模組予亞東醫院檢體搬運車、睿能工廠物料搬運車)、叉車動力電池(自有廠房使用)、高爾夫球車(日本沖繩洽談中)等，避開電動車主力消費者端市場，開發各種應用領域之動力車輛之具備高技術與價格電池之市場為主。該商產品定位為零組件非成品，對如電動車輛、儲能設備、國防等供應鏈性質較有興趣，當日已洽邀參加科隆機車展及推廣本會各項海內外活動，未來如有海內外行銷活動或採購需求，可再提供渠等資料。附註：該公司目前所出貨應用於電動自行車的電池模組，僅提供電容量為0.8度電池模組為主，交由國內組裝廠進行車體，本身不涉及販賣、保修，本身定位為零組件供應商。","林淑惠、張嘉宏"
2017-12-22,"會本部. EBS",NA,"許尹碩"
2017-12-21,"會本部. EBS",NA,"盧育慶"
2017-12-21,"會本部. EBS","渠稱該公司產品主要供貨櫃輪使用，不適合參展","盧育慶"
2017-12-21,"會本部. EBS","1.詠農工業是經貿網尊爵會員2.來電詢問國貿課程及經貿網教育訓練課程3.主要出口至希臘、美國、奧地利4.推廣國內外展團","陳養成"
2017-12-21,"會本部. EBS","1.永傑橡膠工業是經貿網免費會員2.來電詢問經貿網及買賣旺3.主要出口至德國、土耳其4.推廣經貿網及國貿課程","陳養成"
2017-12-21,"會本部. EBS","1.崧傑(股)公司是經貿網免費會員，曾加入為付費會員2.來電詢問經貿網目前功能3.主要出口至南非、英國、澳洲4.推廣國內外展團及國貿課程","陳養成"
2017-12-21,"會本部. EBS","1.介紹TAITRA和GPA專案2.參訪工廠3.認識印度第二大集團Godrej","許尹碩"
2017-12-20,"會本部. EBS","洽通為國內知名虱目魚水產加工商，本處安排馬來西亞Champ Quality Seafood Mr. Jonathan Wong & Ms. Wenessa  Fong參訪洽通，對於虱目魚產品加工方式進行交流。Ms. Fong 表示, 該公司在沙巴附近島嶼已初期進行虱目魚養殖，但馬國市場仍以全魚為主，價格並不高，對於洽通能將產品進行分切包裝，提高附加價值，希有合作開發的機會。對於C商提出採購魚飼料需求，陳總經理已協助聯絡福壽飼料外銷部李經理協助報價。","陳玫伶"
2017-12-20,"會本部. EBS","1.鋐泰精密是經貿網免費會員2.主要出口至中國大陸3.來電詢問經貿網相關問題4.推廣經貿網及國內外展覽","陳養成"
2017-12-20,"會本部. EBS","1.武樺國際是經貿網免費會員2.主要出口至菲律賓3.來電詢問經貿網相關問題4.推廣經貿網及國貿課程","陳養成"
2017-12-20,"會本部. EBS","1.阿梭哿國際是經貿網免費會員2.施小姐表示參加食品展成效不錯3.主要出口至香港，希望拓展中國大陸4.推廣經貿網及課程","陳養成"
2017-12-20,"會本部. EBS","1.顥騏興業是經貿網免費會員2.主要出口至美國、英國及俄羅斯3.推廣經貿網及國貿課程4.推廣台北國際體育用品展及台北國際醫療展","陳養成"
2017-12-20,"會本部. EBS","1.弘廣億企業原以內銷為主2.莊先生表示公司要開始做外銷3.推廣經貿網、國內外展覽及課程4.協助尋找國貿人才","陳養成"
2017-12-20,"會本部. EBS","1.裕秀工業是經貿網免費會員2.主要出口至美國3.推廣經貿網、體育用品展及課程","陳養成"
2017-12-20,"會本部. EBS","1.宏鎰儀器是經貿網尊爵會員2.來電詢問經貿網相關問題3.主要出口至東南亞國家4.推廣國外展及國貿課程","陳養成"
2017-12-20,"會本部. EBS","1.永齡國際是經貿網免費會員2.推廣經貿網及國貿課程3.希望能上關於攝影剪輯課程","陳養成"
