group,string,score,dataId,idG
group29,Pitti Immagine Uomo 91 http://www.pittimmagine.com/corporate.html,1,30,0
group29,Pitti Immagine Uomo 92 http://www.pittimmagine.com/,0.6813874321,1589,0
group29,Pitti Uomo 93 http://www.pittimmagine.com/,0.5647741977,3278,1
group29,Pitti Immagine Filati 82 http://www.pittimmagine.com/en/corporate/fairs/filati.html,0.5164986381,3393,1
group30,2017 ATA Trade Show http://www.archerytrade.org/trade-show,1,31,0
group30,2018 ATA Trade Show http://www.archerytrade.org/trade-show,0.9802160245,3292,1
group31,Kitchen & Bath Industry Show(KBIS 2017) http://www.kbis.com,1,32,0
group31,KBIS 2018 - Kitchen & Bath Industry Show http://www.kbis.com,0.9879355844,3276,1
group32,The PPAI Expo http://expo.ppai.org/,1,33,0
group33,NAHB INTERNATIONAL BUILDER'S SHOW 2017(IBS) http://www.buildersshow.com/Home/,1,34,0
group34,Vakantiebeurs 2017 http://www.vakantiebeurs.nl,1,35,0
group34,Vakantiebeurs 2018 http://www.vakantiebeurs.nl,0.9844588043,3288,1
group35,International Istanbul Children Baby Maternity Industry Expo (CBME Turkey) http://istanbulkidsfashion.com/,1,36,0
group35,CBME Turkey 2018 - Istanbul Kids Fashion (IKF) http://istanbulkidsfashion.com/,0.5740814195,3286,1
group36,"CHICAGO Boat, RV & Strictly Sail Show http://www.chicagoboatshow.com",1,37,0
group36,"CHICAGO Boat, RV & Sail Show http://www.chicagoboatshow.com",0.8936428971,3281,1
group37,LA Art Show 2017 http://www.laartshow.com/,1,38,0
group37,LA Art Show http://www.laartshow.com/,0.9894394796,3283,1
group38,Ferien-Messe Wien 2017 http://www.ferien-messe.at,1,39,0
group38,Ferien-Messe Wien 2018 http://www.ferien-messe.at,0.9898862693,3290,1
group39,Vienna Auto Show 2017 http://www.viennaautoshow.at/,1,40,0
group39,Vienna Auto Show 2018 http://www.viennaautoshow.at/,0.977392359,3291,1
group40,InterClasssics Maastricht 2017 http://www.ic-tm.nl/,1,41,0
group40,InterClasssics Maastricht 2018 https://www.interclassicsmaastricht.nl/,0.588809501,3294,1
group41,2017 Taiwan New Year Market Fair http://www.twtcshopfair.com.tw/,1,42,0
group41,2018 Taiwan New Year Market Fair http://www.twtcshopfair.com.tw/,0.9825278182,3345,1
group42,Atlanta Boat Show 2017 http://www.atlantaboatshow.com,1,43,0
group42,Atlanta Boat Show 2018 http://www.atlantaboatshow.com,0.9714469966,3347,1
group43,EXPOZOO 2017 http://www.expozoo.com,1,44,0
group44,3rd International Cafe Equipment Supplies & Technology Exhibition(Cafe Malaysia 2017) http://cafe-malaysia.com,1,45,0
group44,Malaysia Int'l Cafe & Bakery Show 2017(Cafe & Bakery Show Malaysia 2017) http://cafebakeryshow.com/,0.6463266661,1082,0
group44,Cafe Show China 2017 - China Int'l Cafe Show http://www.cafeshow.com.cn,0.5237449893,1776,0
group44,Cafe Malaysia 2018 - 4th International Cafe Equipment Supplies & Technology Exhibition http://cafe-malaysia.com,0.9459881118,3427,1
