dataId,query,mainText,showId,Score
38,NAIAS 2018 - North American International Auto Show http://www.naias.com/,NORTH AMERICAN INTERNATIONAL AUTO SHOW(NAIAS) http://www.naias.com/,11,2.13005620206,0.213005620206
39,Giving & Living http://www.givingliving.co.uk/,Giving & Living http://www.givingliving.co.uk/,50,2.29435070886,0.327764386979
40,Top Drawer S/S http://www.topdrawer.co.uk/,Top Drawer A/W http://www.topdrawer.co.uk/,3957,2.2891132655,0.327016180785
41,CABSAT 2018 http://www.cabsat.com,CABSAT 2016 http://www.cabsat.com,695,1.17544995009,0.235089990019
42,14th SteelFab 2018 http://www.steelfabme.com/,The 11th SteelFab 2015 http://www.steelfabme.com/default.htm,57,1.3157722143,0.187967459186
43,CUE2018 http://www.cue.nl/,CUE2016 http://www.cue.nl/,1982,1.20703037488,0.301757593719
44,EcoWASTE 2018 http://ecowaste.ae/Default.aspx,EcoWASTE 2016 http://ecowaste.ae/Default.aspx,55,1.72437644288,0.287396073813
45,imm cologne 2018 http://www.imm-cologne.com/,imm cologne http://www.imm-cologne.com/,52,1.55804783192,0.259674638653
46,WFES 2018 - World Future Energy Summit http://www.worldfutureenergysummit.com/,World Future Energy Summit 2016(WFES 2016) http://www.worldfutureenergysummit.com/,53,2.41404720101,0.241404720101
47,SIHH 2018 - Salon International de la Haute Horlogerie http://www.sihh.org,Salon International de la Haute Horlogerie(SIHH) http://www.sihh.org,56,2.45596372492,0.223269429538
48,"COUROMODA 2018 - 45th International Shoe, Leather Goods and Accessories Fair http://www.couromoda.com","43rd International Shoe, Leather Goods and Accessories Fair(COUROMODA 2016) http://www.couromoda.com",49,2.22905318006,0.171465629235
49,International Water Summit 2018(IWS 2018) http://iwsabudhabi.com/,International Water Summit 2016(IWS 2016) http://iwsabudhabi.com/,54,2.05246696219,0.256558370274
50,NATPE Miami 2018 http://www.natpe.org,NATPE Market & Conference (NATPE 2016) http://www.natpe.org,59,1.16273048154,0.193788413591
51,Swissbau 2018 http://www.swissbau.ch,Swissbau 2016 http://www.swissbau.ch,1983,1.34924756087,0.269849512175
52,EUROGUSS 2018 - International Trade Fair for Die Casting http://www.euroguss.de/,11th International Trade Fair for Die Casting (EUROGUSS 2016) http://www.euroguss.de/,1984,2.17011689351,0.197283353955
53,EAG International & VAE 2018 http://www.eagexpo.com,EAG International(EAG 2016) http://www.eagexpo.com,61,1.57355722932,0.224793889903
54,IF Wedding Fashion Izmir 2018 http://ifwedding.izfas.com.tr/#,IF Wedding Fashion Izmir 2017 http://ifwedding.izfas.com.tr/#,235,2.67439047178,0.267439047178
55,Marca 2018 - Private Label Conference and Exhibition http://www.marca.bolognafiere.it/,Private Label Conference and Exhibition(Marca 2016) http://www.marca.bolognafiere.it/,77,2.41208767996,0.219280698178
56,KUWAIT AVIATION SHOW(KAS 2018 ) http://kuwaitaviationshow.com/,AVIATION EXPO CHINA 2015 http://www.cpexhibition.com/aviation/,4326,0.941881477302,0.156980246217
